[ 2013-01-04T16:32:42+08:00 ] /caidan/root/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000717s ]
[ 2013-01-04T16:32:42+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000825s ]
[ 2013-01-04T16:32:43+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T16:32:43+08:00 ] /caidan/root/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001157s ]
[ 2013-01-04T16:32:43+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001336s ]
[ 2013-01-04T16:32:43+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:32:43+08:00 ] /caidan/root/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000690s ]
[ 2013-01-04T16:32:43+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000771s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001179s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001332s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000735s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000821s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.002290s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002422s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.036515s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036642s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.001330s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.003428s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002045s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.002067s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009293s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 120 行.
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 121 行.
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 122 行.
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004274s ]
[ 2013-01-04T16:32:51+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004444s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001093s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001266s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000698s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000786s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000454s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000544s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.083048s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.083174s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.001232s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.001274s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001093s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.001563s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005413s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 120 行.
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 121 行.
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 122 行.
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.006991s ]
[ 2013-01-04T16:33:11+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.007268s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.002554s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002755s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001575s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001672s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.004481s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004712s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.030816s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030966s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000494s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000471s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000470s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000632s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002315s ]
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 120 行.
[ 2013-01-04T16:33:12+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 121 行.
