[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001647s ]
[ 2012-12-16T15:23:47+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001733s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001167s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001273s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001937s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002025s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.021112s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021198s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000966s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001007s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000891s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001379s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004416s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002527s ]
[ 2012-12-16T15:35:11+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002593s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000517s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000618s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000685s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000781s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.012848s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012927s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000359s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000387s ]
